sseid,aeid
10878,13894
11308,11437
11660,11806
11913,12052
13625,13723
13789,13878
14108,14298
14461,14617
15767,16005
15802,16040
18188,18573
19315,19742
19360,19787
19361,19788
19362,19789
19363,19790
19373,19800
19385,19812
24472,24991
24481,25003
24537,25066
25684,26231
32141,32885
32142,32886
32143,32887
32525,33282
33363,34144
33742,34526
35145,36035
35157,36047
36950,37975
37772,38717
37808,38757
37941,38897
37945,38901
39181,40255
41266,42345
49858,50790
49863,50796
51046,51925
53105,53915
53705,54522
55141,55739
55674,56205
55675,56206
66859,68115
66861,68117
67819,69161
67847,69192
75507,77299
97463,104247
97745,104483
97746,104484
102238,109689
232777,188603
514141,400269
514167,400315
514172,400320
514178,400327
514283,400443
514287,400447
514315,400475
514355,400508
514494,400636
514642,400802
514705,400863
514706,400864
514959,401099
515124,401263
516851,403330
517228,403759
517711,404238
523926,410506
524557,411155
524728,411347
524729,411348
524907,411393
